VCollabPro X  24.1 Build # 5.2.124.102 (64-bit) [2024-03-15 14:32:03] 
VCT_File_1, Open CAX File,PASS
VCT_File_2, Open Linear Data,PASS
VCT_File_3, Open Transient Data,PASS
VCT_File_4, Open ModeCase Data,PASS
VCT_File_5, Open Added Elements Data,PASS
VCT_File_6, Open Deleted Elements Data,PASS
VCT_File_7, Open Complex Animation Data,PASS
VCT_File_8, Open MidNodes Data,PASS
VCT_File_9, Open Points Data,PASS
VCT_File_10, Open Polyhedral Elements Data,PASS
VCT_File_11, Open Moving Mesh File,PASS
VCT_File_12, Open Lineset Data,PASS
VCT_File_13, Open CAD CAX Model,PASS
VCT_File_14, Open Adams CAX File,PASS
VCT_File_15, Open Old Version CAX File,FAIL
VCT_File_16, Open New Version CAX File,PASS
VCT_File_17, SaveAsCAX,PASS
VCT_File_18, SaveAsPDF,FAIL
VCT_File_19, SaveAsJT,PASS
VCT_File_20, Merge CAX File,PASS
VCT_File_21, Merge VPT File,FAIL
